"2022/11/01 TWSE Indices"
"Index","Closing Index","Dir(+/-)","Change","Change(%)","Note",
"8215","1,079,992","759","31,944,032","29.15","29.80","29.10","29.60","+","0.50","29.60","7","29.65","30","8.76",
"8222","1,568,023","943","29,756,817","18.25","19.25","18.25","19.05","+","0.50","19.05","12","19.10","37","0.00",
"8249","69,016","24","1,486,243","21.50","21.60","21.50","21.55","+","0.10","21.50","5","21.55","1","12.68",
"8261","1,012,630","1,054","97,026,920","94.70","96.40","94.50","96.10","+","1.40","96.10","4","96.20","6","10.95",
"8271","383,963","275","15,539,981","40.35","40.70","40.05","40.60","+","0.65","40.60","5","40.65","4","8.88",
"8341","114,052","435","15,263,931","134.00","134.50","133.00","133.00","-","1.50","133.00","13","134.00","2","14.94",
"8367","18,142","39","594,953","33.45","33.50","32.40","32.80","+","0.05","32.80","2","32.85","2","13.44",
"8374","48,000","19","1,303,750","26.65","27.60","26.45","27.60","+","0.55","27.25","2","27.60","2","21.90",
"8404","87,787","68","2,229,328","25.35","25.70","25.20","25.55","+","0.35","25.35","2","25.55","3","9.39",
"8411","93,324","119","1,189,877","12.70","12.85","12.65","12.70","+","0.05","12.65","19","12.70","7","12.33",
"8422","109,740","261","18,423,059","167.00","168.50","167.00","167.50","+","0.50","167.50","1","168.00","5","16.03",
"8429","29,289","40","284,855","9.60","9.84","9.44","9.77","+","0.09","9.77","1","9.78","6","0.00",
"8438","33,092","41","795,423","24.40","24.50","23.65","24.40"," ","0.00","23.95","2","24.45","2","11.67",
"8442","61,000","44","4,551,700","74.80","75.50","74.00","74.60","-","0.40","74.60","2","74.70","1","13.16",
"8443","36,710","39","404,780","11.00","11.05","11.00","11.05","+","0.05","11.00","2","11.05","10","0.00",
"8454","3,369,749","5,429","1,677,400,550","483.50","515.00","483.50","489.00","+","6.50","488.00","18","489.00","9","32.09",
"8462","9,334","47","1,080,121","115.50","116.00","115.50","116.00","-","0.50","115.50","2","116.00","1","0.00",
"8463","29,000","20","539,900","18.55","18.70","18.55","18.55"," ","0.00","18.50","9","18.55","8","0.00",
"8464","333,625","315","85,316,687","250.00","258.00","250.00","258.00","+","9.00","257.50","1","258.00","9","12.65",
"8466","5,000","4","201,900","40.20","40.75","40.15","40.65"," ","0.00","40.50","1","40.65","1","19.00",
"8467","28,000","27","1,436,300","51.00","51.80","51.00","51.80","+","1.20","51.80","1","51.90","3","8.37",
"8473","19,658","28","554,112","28.20","28.20","28.15","28.20"," ","0.00","28.15","2","28.20","2","22.38",
"8478","5,542,834","4,605","1,328,059,441","230.00","248.00","229.50","248.00","+","15.50","247.00","2","248.00","10","15.92",
"8480","2,000","2","168,900","84.40","84.50","84.40","84.50"," ","0.00","84.50","1","84.60","22","17.21",
"8481","4,513","12","252,322","55.90","56.00","55.90","56.00","+","0.90","55.70","2","55.90","1","11.02",
"8482","7,000","7","479,900","68.60","68.60","68.40","68.60"," ","0.00","68.50","2","68.70","1","7.73",
"8488","8,000","7","124,500","15.65","15.65","15.50","15.50","-","0.15","15.30","2","15.65","5","26.27",
"8499","53,260","69","5,725,195","106.00","109.00","106.00","108.00","+","2.50","107.50","1","108.50","2","7.08",
"8926","236,920","244","6,922,642","29.25","29.45","29.05","29.15","-","0.10","29.15","2","29.20","1","36.44",
"8940","45,632","43","683,044","14.95","15.10","14.85","15.10","+","0.25","15.00","5","15.25","4","0.00",
"8996","12,214,997","7,461","1,451,407,950","116.00","121.00","115.00","120.00","+","3.00","120.00","73","120.50","58","57.69",
"9103","1,740,660","568","13,255,197","7.53","7.95","7.47","7.47","-","0.82","--","0","7.47","909","0.00",
"910322","83,744","29","2,151,100","25.70","25.70","25.50","25.65","-","0.05","25.45","1","25.65","1","0.00",
"9105","1,553,372","411","5,884,109","3.77","3.80","3.76","3.79","+","0.02","3.79","34","3.80","204","0.00",
"910861","77,000","33","498,330","6.80","6.80","6.42","6.58","-","0.11","6.47","1","6.58","2","0.00",
"9110","153,000","91","458,890","3.01","3.04","2.99","3.04","-","0.02","2.98","10","3.00","10","0.00",
"911608","21,000","14","52,050","2.49","2.49","2.47","2.48","+","0.01","2.47","1","2.48","9","0.00",
"911622","10,000","1","49,900","4.99","4.99","4.99","4.99","-","0.01","4.99","10","5.00","1","0.00",
"911868","106,000","31","121,150","1.14","1.16","1.14","1.15"," ","0.00","1.14","9","1.15","18","0.00",
"912000","107,000","29","238,810","2.22","2.25","2.22","2.24"," ","0.00","2.23","10","2.24","8","0.00",
"9136","274,000","88","1,779,200","6.50","6.54","6.42","6.51","+","0.01","6.51","1","6.52","70","0.00",
"9802","1,393,592","937","193,427,291","136.00","140.50","134.50","139.50","+","3.00","139.00","129","139.50","15","11.81",
"9902","108,212","37","1,110,893","10.25","10.35","10.25","10.30","+","0.05","10.25","1","10.30","4","0.00",
"9904","5,591,517","2,023","156,085,972","27.35","28.15","27.35","28.05","+","0.80","28.00","30","28.05","48","5.83",
"9905","108,706","86","2,625,987","24.15","24.35","24.10","24.15","-","0.05","24.15","2","24.25","10","13.64",
"9906","4,430","7","198,677","44.50","45.25","44.50","44.95","+","0.30","44.55","2","44.95","1","5.42",
"9907","2,132,586","735","35,873,854","16.70","16.95","16.65","16.75","+","0.15","16.75","27","16.80","27","9.80",
"9908","47,847","63","1,474,413","31.00","31.00","30.65","30.75","+","0.15","30.75","1","30.85","1","19.59",
"9910","1,059,784","910","175,203,986","162.00","166.50","161.00","165.50","+","5.00","165.00","3","165.50","2","24.92",
"9911","172,310","363","9,995,907","58.10","58.50","57.20","58.40","-","0.10","58.30","5","58.50","1","12.53",
"9912","106,436","81","954,732","8.91","9.06","8.85","9.06","+","0.06","9.00","2","9.06","2","75.50",
"9914","325,274","324","57,518,202","175.00","178.50","174.00","176.00"," ","0.00","175.50","5","176.50","2","11.03",
"9917","336,962","465","31,146,481","91.90","92.90","91.90","92.20","-","0.20","92.20","6","92.70","1","15.71",
"9918","2,004","4","85,468","42.60","42.70","42.60","42.70","+","0.70","42.00","12","42.60","1","35.88",
"9919","9,991,210","2,189","160,207,923","15.15","16.70","15.15","16.70","+","1.50","16.70","388","--","0","0.00",
"9921","718,642","503","150,548,307","205.50","211.00","205.50","208.00","+","2.50","207.50","2","208.00","9","12.99",
"9924","90,252","83","3,628,579","39.85","40.35","39.85","40.10","+","0.05","40.10","1","40.25","1","9.85",
"9925","77,456","97","2,992,396","38.65","38.70","38.55","38.60","-","0.05","38.55","12","38.60","3","12.82",
"9926","3,087","9","161,669","52.50","52.50","52.30","52.30","+","0.80","51.60","1","52.00","2","21.00",
"9927","152,339","142","5,380,556","34.60","35.60","34.60","35.40","+","0.80","35.40","1","35.45","4","7.38",
"9928","383,343","186","7,264,343","18.95","18.95","18.95","18.95","+","1.70","18.95","5,898","--","0","172.27",
"9929","42,000","29","359,030","8.45","8.62","8.45","8.48","+","0.03","8.49","1","8.60","2","0.00",
"9930","41,373","35","1,855,185","44.70","44.95","44.70","44.90","+","0.25","44.85","1","44.90","4","15.02",
"9931","8,001","4","316,688","38.70","39.75","38.70","39.70","+","0.25","39.45","2","39.75","2","19.46",
"9933","2,189,492","1,488","102,871,831","46.65","47.30","46.50","47.30","+","0.40","47.25","21","47.30","87","13.91",
"9934","20,472","25","242,656","11.85","11.95","11.70","11.90","+","0.05","11.85","2","11.90","4","0.00",
"9935","85,007","61","1,408,322","16.45","16.65","16.45","16.65","+","0.05","16.60","2","16.65","11","53.71",
"9937","14,270","23","726,026","50.90","51.10","50.70","50.80","+","0.50","50.50","2","50.60","2","20.73",
"9938","916,160","635","44,814,605","48.80","49.30","48.10","49.15","+","0.35","49.15","2","49.20","3","8.07",
"9939","595,812","878","50,021,513","83.20","84.40","82.70","84.30","+","0.90","84.20","2","84.30","9","12.08",
"9940","97,605","118","2,753,555","28.20","28.50","28.05","28.15","+","0.10","28.15","3","28.20","4","9.48",
"9941","935,143","1,205","128,558,165","136.00","139.50","133.50","137.50","+","1.00","137.00","42","137.50","10","11.61",
"9941A","22,100","15","1,070,989","48.40","48.70","48.35","48.70","+","0.15","48.50","1","48.75","2","0.00",
"9942","1,313,024","1,044","142,956,827","105.00","112.00","103.50","109.50","+","4.50","109.50","9","110.00","19","17.52",
"9943","51,319","90","2,910,512","56.40","57.20","56.40","57.20","+","0.50","57.20","3","57.50","1","84.12",
"9944","79,347","36","1,616,855","20.40","20.40","20.25","20.25","-","0.15","20.25","2","20.40","16","4.08",
"9945","5,935,007","3,510","236,751,743","39.95","40.20","39.40","40.00","+","0.40","39.95","10","40.00","5","5.40",
"9946","18,803","21","218,934","11.75","11.75","11.55","11.60","+","0.05","11.55","5","11.65","11","18.41",
"9955","193,161","197","3,335,584","17.05","17.40","17.05","17.20","+","0.15","17.20","9","17.25","2","0.00",
"9958","2,793,863","2,063","219,013,110","76.90","79.30","76.90","78.90","+","1.90","78.80","6","78.90","5","19.82",
"Remarks:"
"Symbols for Direction:+/-/ X represent Up/Down/Not compared.",
"If the Security Code represents warrants or company warrants, the clearing price will be disclosed in the Price-Earning ratio column, when the code represents foreign securities or index-based call or put warrants, and the warrants to be exercised in European style, the column appears blank.",
"One Trading Unit is 1,000 shares excluding offshore ETF & secondary listing of a Foreign Securities.",
"The statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers.",

